gemeentenaam,care_category,actual_cost,expected_cost,insured_years,municipality_actual_cost,municipality_expected_cost,ratio,percentage_difference,euro_gap,actual_cost_per_insured_year,expected_cost_per_insured_year,actual_cost_share_percent,rank_by_scr,municipality_scr,municipality_percentage_difference,municipality_euro_gap,small_population_caution_flag
HEERLEN,Medical specialist care,172504704.0,151448957.22746298,85434.42,357132375.91,287314205.692224,1.1390286678627517,13.902866786275169,21055746.772537023,2019.1475988249233,1772.692519331939,48.30273468218755,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Mental health (GGZ),42822903.18,23993145.88620838,85434.42,357132375.91,287314205.692224,1.7847973493386393,78.47973493386394,18829757.29379162,501.2371264415443,280.8369962154408,11.990764788794081,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,"Nursing, rehabilitation and short-stay care",33185728.38,25395729.875863384,85434.42,357132375.91,287314205.692224,1.3067444228700977,30.674442287009775,7789998.5041366145,388.4351105795533,297.25407951342544,9.292276651042986,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Pharmacy,37717344.87,31020312.08087336,85434.42,357132375.91,287314205.692224,1.2158918572987512,21.589185729875116,6697032.789126638,441.477157216026,363.0891633708447,10.561166506927124,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,General practice,28489107.54,24003219.72620391,85434.42,357132375.91,287314205.692224,1.1868869203783907,18.688692037839072,4485887.813796088,333.46170711991726,280.95490934688746,7.9771842212310275,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Other Zvw care,7188290.86,3609566.9228581944,85434.42,357132375.91,287314205.692224,1.9914552115598494,99.14552115598494,3578723.937141806,84.13811271850386,42.249563148648924,2.0127805107794265,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Paramedical care,9045418.14,5499617.571523111,85434.42,357132375.91,287314205.692224,1.6447358425132976,64.47358425132977,3545800.5684768893,105.87557263220141,64.3723872828201,2.532791410174336,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Medical devices,12562801.65,10252722.438151946,85434.42,357132375.91,287314205.692224,1.2253137374763894,22.531373747638938,2310079.211848054,147.0461396004093,120.00692973806045,3.5176876971708433,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Dental care,5717061.43,4246985.663567889,85434.42,357132375.91,287314205.692224,1.3461456861140195,34.61456861140195,1470075.7664321112,66.91754248463324,49.710475749327834,1.600824180510798,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Patient transport,5423497.96,4510533.028047191,85434.42,357132375.91,287314205.692224,1.2024073266453992,20.24073266453992,912964.931952809,63.4814160381729,52.79526715400176,1.5186239965448445,1,1.2430028478736845,24.300284787368454,69818170.217776,False
HEERLEN,Maternity care,2475517.9000000004,3333415.271463712,85434.42,357132375.91,287314205.692224,0.7426371149109764,-25.736288508902362,-857897.3714637118,28.975650563320972,39.01724002414615,0.6931653546369733,1,1.2430028478736845,24.300284787368454,69818170.217776,False
BRUNSSUM,Medical specialist care,57842566.52,50646318.56225517,27259.22,116206193.58,95319681.07748385,1.1420882733835651,14.20882733835651,7196247.957744837,2121.945034377359,1857.9518622416622,49.775803455931424,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Pharmacy,13416541.19,10390790.294000894,27259.22,116206193.58,95319681.07748385,1.2911954538959387,29.11954538959387,3025750.8959991056,492.1836057671496,381.1844320564159,11.545461370579728,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Mental health (GGZ),10206338.86,7397903.4056843845,27259.22,116206193.58,95319681.07748385,1.379625861586362,37.96258615863619,2808435.454315615,374.4178615528984,271.3908690595103,8.782956007395281,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,"Nursing, rehabilitation and short-stay care",11526401.06,8752350.030956918,27259.22,116206193.58,95319681.07748385,1.316949278677305,31.69492786773049,2774051.029043082,422.8441261342034,321.07852062373456,9.91892144893711,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Paramedical care,3359993.74,1814411.7872943366,27259.22,116206193.58,95319681.07748385,1.8518363711748402,85.18363711748403,1545581.9527056636,123.26081744085121,66.56139784243044,2.891406762830481,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Other Zvw care,2441498.14,1181169.5388376105,27259.22,116206193.58,95319681.07748385,2.067017527731607,106.70175277316072,1260328.6011623896,89.56595749988445,43.33101016234546,2.1010051743233427,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,General practice,8685396.84,7830374.572520068,27259.22,116206193.58,95319681.07748385,1.1091930225765378,10.919302257653785,855022.2674799319,318.6223538311074,287.2560026486476,7.474125580079946,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Medical devices,4091840.05,3455749.203431388,27259.22,116206193.58,95319681.07748385,1.1840674218884302,18.40674218884302,636090.8465686119,150.10847889264622,126.77359085958395,3.5211892963201215,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Dental care,1953276.44,1379817.2423285649,27259.22,116206193.58,95319681.07748385,1.41560518312097,41.560518312096995,573459.1976714351,71.65562477576394,50.61836847600793,1.6808711995676058,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Patient transport,1853321.93,1521371.014338636,27259.22,116206193.58,95319681.07748385,1.2181919548438802,21.819195484388022,331950.91566136386,67.98881002464486,55.81124530850978,1.5948564124717801,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
BRUNSSUM,Maternity care,829018.8099999999,949425.4258358824,27259.22,116206193.58,95319681.07748385,0.8731794909222328,-12.68205090777672,-120406.61583588249,30.412418623863775,34.82951551203161,0.7134032915631794,2,1.2191206712655474,21.912067126554735,20886512.50251615,False
KERKRADE,Medical specialist care,89000440.0,79173000.95975575,42638.07,180330185.38,149011685.68493757,1.1241261404912466,12.41261404912466,9827439.040244251,2087.346824094055,1856.861742563764,49.35415544128356,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,"Nursing, rehabilitation and short-stay care",18731847.54,13662704.038530948,42638.07,180330185.38,149011685.68493757,1.3710205159369098,37.10205159369097,5069143.501469051,439.3221255089642,320.43439204755157,10.387527468308978,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Mental health (GGZ),16059470.96,11595416.198342808,42638.07,180330185.38,149011685.68493757,1.3849844356854726,38.49844356854726,4464054.761657193,376.6462919170591,271.9498372778788,8.90559222027014,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Other Zvw care,5092673.86,1848976.7108422434,42638.07,180330185.38,149011685.68493757,2.754320176201783,175.43201762017827,3243697.149157757,119.43959611680361,43.36445600943578,2.82408286181733,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Pharmacy,18926464.66,16239159.291370759,42638.07,180330185.38,149011685.68493757,1.1654830351998107,16.54830351998107,2687305.3686292414,443.88652347538243,380.8605617320568,10.495450121185918,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,General practice,14307103.34,12232202.560566189,42638.07,180330185.38,149011685.68493757,1.1696260971121273,16.96260971121273,2074900.779433811,335.54763008738433,286.88452738517924,7.93383720526401,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Paramedical care,4680135.95,2817974.984880563,42638.07,180330185.38,149011685.68493757,1.6608152929357403,66.08152929357402,1862160.9651194373,109.76425410437199,66.09058488999533,2.595314777799293,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Medical devices,6663624.31,5399255.646652299,42638.07,180330185.38,149011685.68493757,1.2341746244469174,23.41746244469174,1264368.6633477006,156.2834413002277,126.6299259476871,3.69523510218664,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Dental care,2844187.78,2144819.9869471313,42638.07,180330185.38,149011685.68493757,1.3260729559166065,32.607295591660645,699367.7930528685,66.70535931856202,50.302933199066736,1.5772111441057957,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Patient transport,2907925.71,2382500.9308771435,42638.07,180330185.38,149011685.68493757,1.220534973276764,22.053497327676407,525424.7791228564,68.20021895925402,55.877316465711125,1.6125562694189475,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
KERKRADE,Maternity care,1116311.27,1515674.3761717377,42638.07,180330185.38,149011685.68493757,0.7365112767951902,-26.348872320480975,-399363.10617173766,26.18109285903419,35.54744330997481,0.6190373883593908,3,1.2101747896556287,21.017478965562873,31318499.69506243,False
MEDEMBLIK,Maternity care,2928293.07,1563714.9755483563,45175.909999999996,126879272.95,146508482.5950088,1.8726514203607467,87.26514203607468,1364578.0944516435,64.81979156590316,34.613912050656126,2.3079365147008435,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Dental care,2502558.3,2483991.1850543437,45175.909999999996,126879272.95,146508482.5950088,1.0074747104810076,0.7474710481007563,18567.114945656154,55.395858102249626,54.98486217664113,1.9723933167446477,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Patient transport,2096799.37,2253209.2790941354,45175.909999999996,126879272.95,146508482.5950088,0.9305834968170301,-6.941650318296988,-156409.90909413528,46.41410366719786,49.8763451382415,1.6525940929897172,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Pharmacy,15043574.12,15858948.698243875,45175.909999999996,126879272.95,146508482.5950088,0.9485858366933134,-5.141416330668658,-815374.5782438759,332.99991344944686,351.0487934442024,11.856604920748799,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Paramedical care,2111471.1999999997,2954621.081822054,45175.909999999996,126879272.95,146508482.5950088,0.7146334983496087,-28.536650165039134,-843149.8818220543,46.73887476754757,65.40258030932978,1.6641577074862957,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Other Zvw care,1049060.11,1911201.4394390853,45175.909999999996,126879272.95,146508482.5950088,0.5489008580424085,-45.109914195759146,-862141.3294390852,23.221670797555603,42.30576516198756,0.8268175609844556,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Medical devices,4134182.27,5159612.067383291,45175.909999999996,126879272.95,146508482.5950088,0.8012583535367728,-19.874164646322722,-1025429.7973832912,91.51298269365245,114.21158018473322,3.2583590478400515,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,General practice,11243642.12,12388167.510451188,45175.909999999996,126879272.95,146508482.5950088,0.9076114050374586,-9.238859496254136,-1144525.3904511891,248.88579156457502,274.2206523443842,8.86168548934769,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,"Nursing, rehabilitation and short-stay care",8916881.59,11454169.660083584,45175.909999999996,126879272.95,146508482.5950088,0.7784834566467327,-22.151654335326732,-2537288.0700835846,197.38133863822557,253.5459642115363,7.027847325003134,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Mental health (GGZ),7683403.6,12204064.323611606,45175.909999999996,126879272.95,146508482.5950088,0.6295774420931776,-37.04225579068224,-4520660.723611606,170.07745057044784,270.14540102482954,6.0556806650585395,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
MEDEMBLIK,Medical specialist care,69169407.2,78276782.3742773,45175.909999999996,126879272.95,146508482.5950088,0.8836516410353872,-11.634835896461283,-9107375.17427729,1531.1126483118992,1732.7106941349339,54.51592335909582,330,0.8660199785204962,-13.398002147950383,-19629209.645008788,False
NIEUWKOOP,Maternity care,1141815.0,1104078.6879534083,29101.91,80836723.93,94410521.40425768,1.0341790059515976,3.417900595159762,37736.31204659166,39.23505364424534,37.93835827110345,1.4124953913134168,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Other Zvw care,1005359.08,1246987.1268251985,29101.91,80836723.93,94410521.40425768,0.8062305202457236,-19.37694797542764,-241628.04682519857,34.54615453075073,42.84897887544833,1.243691024478656,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Medical devices,3062298.57,3306185.3543024454,29101.91,80836723.93,94410521.40425768,0.9262331786737038,-7.37668213262962,-243886.7843024456,105.22672120146065,113.60716029643571,3.78825170185246,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Patient transport,1144189.88,1449673.4959130068,29101.91,80836723.93,94410521.40425768,0.7892741939655779,-21.072580603442216,-305483.61591300694,39.31665928456242,49.813689064154445,1.4154332639590925,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Dental care,1145229.83,1548311.1812380746,29101.91,80836723.93,94410521.40425768,0.7396638633612663,-26.033613663873368,-403081.3512380745,39.352394052486595,53.20307777867757,1.4167197460793979,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Paramedical care,1360028.55,1894961.007807665,29101.91,80836723.93,94410521.40425768,0.7177079340400023,-28.229206595999766,-534932.457807665,46.73330891340122,65.11466112731657,1.6824389756043394,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,General practice,7082417.9,7987721.563482326,29101.91,80836723.93,94410521.40425768,0.8866630920610545,-11.333690793894547,-905303.6634823261,243.3660849064546,274.47413463522935,8.761386602125254,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Pharmacy,8893368.88,10156953.023492547,29101.91,80836723.93,94410521.40425768,0.8755941727238536,-12.440582727614636,-1263584.143492546,305.59399297159536,349.0132786299094,11.001644361170737,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,"Nursing, rehabilitation and short-stay care",5598094.33,7469451.502209516,29101.91,80836723.93,94410521.40425768,0.7494652490004178,-25.053475099958224,-1871357.1722095162,192.36174979580377,256.6653357875657,6.92518704103797,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Mental health (GGZ),5269703.99,7940167.462778953,29101.91,80836723.93,94410521.40425768,0.6636766812164531,-33.63233187835469,-2670463.4727789527,181.07759903044166,272.8400803513911,6.518947990226896,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
NIEUWKOOP,Medical specialist care,45134217.92,50306030.99825455,29101.91,80836723.93,94410521.40425768,0.8971929811271735,-10.28070188728265,-5171813.078254551,1550.9022576181426,1728.6161285721298,55.83380390215177,335,0.8562257969518476,-14.377420304815235,-13573797.474257678,False
KOGGENLAND,Maternity care,1726495.3299999998,810722.887564708,23176.58,63207026.449999996,74597380.47381113,2.1295751686326967,112.95751686326967,915772.4424352918,74.49310165693124,34.98026402362678,2.731492726312234,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Patient transport,978701.2,1146762.0905788674,23176.58,63207026.449999996,74597380.47381113,0.8534474657301996,-14.655253426980043,-168060.8905788674,42.22802501490728,49.4793490057147,1.5484056994426132,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Dental care,1081306.96,1268425.1157074422,23176.58,63207026.449999996,74597380.47381113,0.8524799348496972,-14.752006515030281,-187118.1557074422,46.65515619647074,54.72874409026017,1.710738537677246,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Other Zvw care,580349.86,981710.9827604195,23176.58,63207026.449999996,74597380.47381113,0.5911616251538165,-40.88383748461835,-401361.1227604195,25.040357982066375,42.35788812501324,0.9181730142915148,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Paramedical care,1057655.42,1513390.8261511258,23176.58,63207026.449999996,74597380.47381113,0.6988646962330558,-30.11353037669442,-455735.4061511259,45.63466309524528,65.29828068468798,1.673319375080332,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Medical devices,2059375.52,2621198.3973390404,23176.58,63207026.449999996,74597380.47381113,0.7856618263198293,-21.43381736801707,-561822.8773390404,88.85588469049358,113.09685886955884,3.2581433357398515,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,General practice,5534538.14,6343734.39181264,23176.58,63207026.449999996,74597380.47381113,0.8724416563125647,-12.755834368743535,-809196.2518126406,238.7987416607627,273.71313592482755,8.756207103617038,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Pharmacy,6641075.17,8031540.348953559,23176.58,63207026.449999996,74597380.47381113,0.8268744078295361,-17.312559217046385,-1390465.1789535591,286.5424997993664,346.536907039501,10.50686220028628,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,"Nursing, rehabilitation and short-stay care",4111363.8200000003,5970998.177028956,23176.58,63207026.449999996,74597380.47381113,0.6885555309356549,-31.14444690643451,-1859634.3570289556,177.3930329669002,257.6306848132449,6.504599331614342,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Mental health (GGZ),3265603.55,6302098.028686217,23176.58,63207026.449999996,74597380.47381113,0.5181772062471031,-48.182279375289696,-3036494.478686217,140.90101084801984,271.91665158044094,5.1665198213101515,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
KOGGENLAND,Medical specialist care,36170561.48,39606799.22722817,23176.58,63207026.449999996,74597380.47381113,0.9132412157944363,-8.675878420556371,-3436237.7472281754,1560.6513765188822,1708.9147418311145,57.2255388546284,338,0.8473089275861376,-15.269107241386237,-11390354.02381114,False
